Season,No. in series,No. in season,Title_Text,Title_Link,Original air date,U.S. viewers (millions)
Season 10,205,9.0,"""Sorry Seems to Be the Hardest Word""",https://greysanatomy.fandom.com/wiki/Sorry_Seems_to_Be_the_Hardest_Word,"November 14, 2013",8.56[205]
,,,,,,
Season 10,207,11.0,"""Man on the Moon""",https://greysanatomy.fandom.com/wiki/Man_on_the_Moon,"December 5, 2013",7.02[207]
Season 10,208,12.0,"""Get Up, Stand Up""","https://greysanatomy.fandom.com/wiki/Get_Up,_Stand_Up_(Grey%27s_Anatomy)","December 12, 2013",8.36[208]
,,,,,,
Season 10,210,14.0,"""You've Got to Hide Your Love Away""",https://greysanatomy.fandom.com/wiki/You%27ve_Got_to_Hide_Your_Love_Away,"March 6, 2014",8.21[210]
,,,,,,
Season 10,212,16.0,"""We Gotta Get Out of This Place""",https://greysanatomy.fandom.com/wiki/We_Gotta_Get_Out_of_This_Place,"March 20, 2014",8.09[212]
Season 10,213,17.0,"""Do You Know?""",https://greysanatomy.fandom.com/wiki/Do_You_Know%3F,"March 27, 2014",8.42[213]
Season 10,214,18.0,"""You Be Illin'""",https://greysanatomy.fandom.com/wiki/You_Be_Illin%27,"April 3, 2014",8.28[214]
Season 10,215,19.0,"""I'm Winning""",https://greysanatomy.fandom.com/wiki/I%27m_Winning,"April 10, 2014",8.18[215]
,,,,,,
Season 10,217,21.0,"""Change of Heart""",https://greysanatomy.fandom.com/wiki/Change_of_Heart,"April 24, 2014",7.99[217]
,,,,,,
Season 10,219,23.0,"""Everything I Try to Do, Nothing Seems to Turn Out Right""","https://greysanatomy.fandom.com/wiki/Everything_I_Try_to_Do,_Nothing_Seems_to_Turn_Out_Right","May 8, 2014",7.95[219]
,,,,,,
,,,,,,
Season 11,222,2.0,"""Puzzle With a Piece Missing""",https://greysanatomy.fandom.com/wiki/Puzzle_With_a_Piece_Missing,"October 2, 2014",9.44[222]
,,,,,,
Season 11,224,4.0,"""Only Mama Knows""",https://greysanatomy.fandom.com/wiki/Only_Mama_Knows,"October 16, 2014",8.43[224]
,,,,,,
,,,,,,
Season 11,227,7.0,"""Could We Start Again, Please?""","https://greysanatomy.fandom.com/wiki/Could_We_Start_Again,_Please%3F","November 13, 2014",8.36[227]
,,,,,,
Season 11,229,9.0,"""Where Do We Go From Here""",https://greysanatomy.fandom.com/wiki/Where_Do_We_Go_From_Here,"January 29, 2015",8.71[229]
Season 11,230,10.0,"""The Bed's Too Big Without You""",https://greysanatomy.fandom.com/wiki/The_Bed%27s_Too_Big_Without_You,"February 5, 2015",7.98[230]
,,,,,,
Season 11,232,12.0,"""The Great Pretender""",https://greysanatomy.fandom.com/wiki/The_Great_Pretender,"February 19, 2015",8.13[232]
Season 11,233,13.0,"""Staring at the End""",https://greysanatomy.fandom.com/wiki/Staring_at_the_End,"February 26, 2015",7.56[233]
Season 11,234,14.0,"""The Distance""",https://greysanatomy.fandom.com/wiki/The_Distance,"March 5, 2015",8.09[234]
Season 11,235,15.0,"""I Feel the Earth Move""",https://greysanatomy.fandom.com/wiki/I_Feel_the_Earth_Move,"March 12, 2015",7.40[235]
,,,,,,
Season 11,237,17.0,"""With or Without You""",https://greysanatomy.fandom.com/wiki/With_or_Without_You,"March 26, 2015",8.18[237]
,,,,,,
,,,,,,
Season 11,240,20.0,"""One Flight Down""",https://greysanatomy.fandom.com/wiki/One_Flight_Down,"April 16, 2015",7.60[240]
Season 11,241,21.0,"""How to Save a Life""",https://greysanatomy.fandom.com/wiki/How_to_Save_a_Life,"April 23, 2015",9.55[241]
,,,,,,
Season 11,244,23.0,"""Time Stops""",https://greysanatomy.fandom.com/wiki/Time_Stops,"May 7, 2015",7.74[243]
Season 11,245,24.0,"""You're My Home""",https://greysanatomy.fandom.com/wiki/You%27re_My_Home,"May 14, 2015",8.33[244]
,,,,,,
Season 12,247,2.0,"""Walking Tall""",https://greysanatomy.fandom.com/wiki/Walking_Tall,"October 1, 2015",8.58[246]
Season 12,248,3.0,"""I Choose You""",https://greysanatomy.fandom.com/wiki/I_Choose_You,"October 8, 2015",8.12[247]
,,,,,,
,,,,,,
Season 12,251,6.0,"""The Me Nobody Knows""",https://greysanatomy.fandom.com/wiki/The_Me_Nobody_Knows,"November 5, 2015",8.50[250]
Season 12,252,7.0,"""Something Against You""",https://greysanatomy.fandom.com/wiki/Something_Against_You,"November 12, 2015",8.02[251]
Season 12,253,8.0,"""Things We Lost in the Fire""",https://greysanatomy.fandom.com/wiki/Things_We_Lost_in_the_Fire_(Grey%27s_Anatomy),"November 19, 2015",8.50[252]
Season 12,254,9.0,"""The Sound of Silence""",https://greysanatomy.fandom.com/wiki/The_Sound_of_Silence,"February 11, 2016",8.28[253]
,,,,,,
Season 12,256,11.0,"""Unbreak My Heart""",https://greysanatomy.fandom.com/wiki/Unbreak_My_Heart,"February 25, 2016",7.23[255]
Season 12,257,12.0,"""My Next Life""",https://greysanatomy.fandom.com/wiki/My_Next_Life,"March 3, 2016",7.67[256]
Season 12,258,13.0,"""All Eyez on Me""",https://greysanatomy.fandom.com/wiki/All_Eyez_on_Me,"March 10, 2016",7.53[257]
Season 12,259,14.0,"""Odd Man Out""",https://greysanatomy.fandom.com/wiki/Odd_Man_Out,"March 17, 2016",7.83[258]
Season 12,260,15.0,"""I Am Not Waiting Anymore""",https://greysanatomy.fandom.com/wiki/I_Am_Not_Waiting_Anymore,"March 24, 2016",7.91[259]
,,,,,,
Season 12,262,17.0,"""I Wear the Face""",https://greysanatomy.fandom.com/wiki/I_Wear_the_Face,"April 7, 2016",7.35[261]
Season 12,263,18.0,"""There's a Fine, Fine Line""","https://greysanatomy.fandom.com/wiki/There%27s_a_Fine,_Fine_Line","April 14, 2016",7.97[262]
Season 12,264,19.0,"""It's Alright, Ma (I'm Only Bleeding)""","https://greysanatomy.fandom.com/wiki/It%27s_Alright,_Ma_(I%27m_Only_Bleeding)","April 14, 2016",7.97[263]
,,,,,,
Season 12,266,21.0,"""You're Gonna Need Someone on Your Side""",https://greysanatomy.fandom.com/wiki/You%27re_Gonna_Need_Someone_on_Your_Side,"April 28, 2016",7.91[265]
Season 12,267,22.0,"""Mama Tried""",https://greysanatomy.fandom.com/wiki/Mama_Tried,"May 5, 2016",7.66[266]
Season 12,268,23.0,"""At Last""",https://greysanatomy.fandom.com/wiki/At_Last,"May 12, 2016",7.77[267]
Season 12,269,24.0,"""Family Affair""",https://greysanatomy.fandom.com/wiki/Family_Affair,"May 19, 2016",8.19[268]
,,,,,,
Season 13,271,2.0,"""Catastrophe and the Cure""",https://greysanatomy.fandom.com/wiki/Catastrophe_and_the_Cure,"September 29, 2016",8.41[270]
,,,,,,
Season 13,273,4.0,"""Falling Slowly""",https://greysanatomy.fandom.com/wiki/Falling_Slowly,"October 13, 2016",7.80[272]
Season 13,274,5.0,"""Both Sides Now""",https://greysanatomy.fandom.com/wiki/Both_Sides_Now,"October 20, 2016",8.17[273]
Season 13,275,6.0,"""Roar""",https://greysanatomy.fandom.com/wiki/Roar,"October 27, 2016",8.17[274]
Season 13,276,7.0,"""Why Try to Change Me Now""",https://greysanatomy.fandom.com/wiki/Why_Try_to_Change_Me_Now,"November 3, 2016",7.60[275]
Season 13,277,8.0,"""The Room Where It Happens""",https://greysanatomy.fandom.com/wiki/The_Room_Where_It_Happens,"November 10, 2016",7.25[276]
,,,,,,
Season 13,279,10.0,"""You Can Look (But You'd Better Not Touch)""",https://greysanatomy.fandom.com/wiki/You_Can_Look_(But_You%27d_Better_Not_Touch),"January 26, 2017",9.59[278]
Season 13,280,11.0,"""Jukebox Hero""",https://greysanatomy.fandom.com/wiki/Jukebox_Hero,"February 2, 2017",8.49[279]
Season 13,281,12.0,"""None of Your Business""",https://greysanatomy.fandom.com/wiki/None_of_Your_Business,"February 9, 2017",8.46[280]
Season 13,282,13.0,"""It Only Gets Much Worse""",https://greysanatomy.fandom.com/wiki/It_Only_Gets_Much_Worse,"February 16, 2017",7.68[281]
Season 13,283,14.0,"""Back Where You Belong""",https://greysanatomy.fandom.com/wiki/Back_Where_You_Belong,"February 23, 2017",7.71[282]
,,,,,,
Season 13,285,16.0,"""Who Is He (And What Is He To You)?""",https://greysanatomy.fandom.com/wiki/Who_Is_He_(And_What_Is_He_To_You)%3F,"March 16, 2017",7.90[284]
Season 13,286,17.0,"""Till I Hear It From You""",https://greysanatomy.fandom.com/wiki/Till_I_Hear_It_From_You,"March 23, 2017",7.80[285]
Season 13,287,18.0,"""Be Still, My Soul""","https://greysanatomy.fandom.com/wiki/Be_Still,_My_Soul","March 30, 2017",7.62[286]
Season 13,288,19.0,"""What's Inside""",https://greysanatomy.fandom.com/wiki/What%27s_Inside,"April 6, 2017",7.23[287]
Season 13,289,20.0,"""In the Air Tonight""",https://greysanatomy.fandom.com/wiki/In_the_Air_Tonight,"April 13, 2017",7.19[288]
,,,,,,
Season 13,291,22.0,"""Leave It Inside""",https://greysanatomy.fandom.com/wiki/Leave_It_Inside,"May 4, 2017",7.09[290]
Season 13,292,23.0,"""True Colors",https://greysanatomy.fandom.com/wiki/True_Colors_(Grey%27s_Anatomy),"May 11, 2017",7.02[291]
Season 13,293,24.0,"""Ring of Fire""",https://greysanatomy.fandom.com/wiki/Ring_of_Fire,"May 18, 2017",7.92[292]
,,,,,,
Season 14,295,2.0,"""Get Off on the Pain""",https://greysanatomy.fandom.com/wiki/Get_Off_on_the_Pain,"September 28, 2017",8.07[294]
Season 14,296,3.0,"""Go Big or Go Home""",https://greysanatomy.fandom.com/wiki/Go_Big_or_Go_Home,"October 5, 2017",8.06[295]
Season 14,297,4.0,"""Ain't That a Kick in the Head""",https://greysanatomy.fandom.com/wiki/Ain%27t_That_a_Kick_in_the_Head,"October 12, 2017",8.08[296]
Season 14,298,5.0,"""Danger Zone""",https://greysanatomy.fandom.com/wiki/Danger_Zone,"October 26, 2017",7.67[297]
Season 14,299,6.0,"""Come on Down to My Boat, Baby""","https://greysanatomy.fandom.com/wiki/Come_on_Down_to_My_Boat,_Baby","November 2, 2017",7.38[298]
Season 14,300,7.0,"""Who Lives, Who Dies, Who Tells Your Story""","https://greysanatomy.fandom.com/wiki/Who_Lives,_Who_Dies,_Who_Tells_Your_Story","November 9, 2017",8.13[299]
Season 14,301,8.0,"""Out of Nowhere""",https://greysanatomy.fandom.com/wiki/Out_of_Nowhere,"November 16, 2017",7.52[300]
,,,,,,
,,,,,,
Season 14,304,11.0,"""(Don't Fear) the Reaper""",https://greysanatomy.fandom.com/wiki/(Don%27t_Fear)_the_Reaper,"February 1, 2018",8.93[303]
,,,,,,
,,,,,,
Season 14,307,14.0,"""Games People Play""",https://greysanatomy.fandom.com/wiki/Games_People_Play,"March 8, 2018",7.07[306]
Season 14,308,15.0,"""Old Scars, Future Hearts""","https://greysanatomy.fandom.com/wiki/Old_Scars,_Future_Hearts","March 15, 2018",7.18[307]
Season 14,309,16.0,"""Caught Somewhere in Time""",https://greysanatomy.fandom.com/wiki/Caught_Somewhere_in_Time,"March 22, 2018",7.61[308]
,,,,,,
Season 14,311,18.0,"""Hold Back the River""",https://greysanatomy.fandom.com/wiki/Hold_Back_the_River,"April 5, 2018",6.84[310]
,,,,,,
,,,,,,
,,,,,,
Season 14,315,22.0,"""Fight For Your Mind""",https://greysanatomy.fandom.com/wiki/Fight_For_Your_Mind,"May 3, 2018",6.66[314]
Season 14,316,23.0,"""Cold as Ice""",https://greysanatomy.fandom.com/wiki/Cold_as_Ice,"May 10, 2018",7.35[315]
Season 14,317,24.0,"""All of Me""",https://greysanatomy.fandom.com/wiki/All_of_Me,"May 17, 2018",7.60[316]
Season 15,318,1.0,"""With a Wonder and a Wild Desire""",https://greysanatomy.fandom.com/wiki/With_a_Wonder_and_a_Wild_Desire,"September 27, 2018",6.81[317]
,,,,,,
,,,,,,
Season 15,321,4.0,"""Momma Knows Best""",https://greysanatomy.fandom.com/wiki/Momma_Knows_Best,"October 11, 2018",6.72[320]
,,,,,,
,,,,,,
Season 15,324,7.0,"""Anybody Have a Map?""",https://greysanatomy.fandom.com/wiki/Anybody_Have_a_Map%3F,"November 8, 2018",6.60[323]
Season 15,325,8.0,"""Blowin' in the Wind""",https://greysanatomy.fandom.com/wiki/Blowin%27_in_the_Wind,"November 15, 2018",7.30[324]
Season 15,326,9.0,"""Shelter from the Storm""",https://greysanatomy.fandom.com/wiki/Shelter_from_the_Storm,"January 17, 2019",7.07[325]
,,,,,,
,,,,,,
,,,,,,
Season 15,330,13.0,"""I Walk the Line""",https://greysanatomy.fandom.com/wiki/I_Walk_the_Line,"February 14, 2019",6.58[329]
Season 15,331,14.0,"""I Want a New Drug""",https://greysanatomy.fandom.com/wiki/I_Want_a_New_Drug,"February 21, 2019",6.89[330]
Season 15,332,15.0,"""We Didn't Start the Fire""",https://greysanatomy.fandom.com/wiki/We_Didn%27t_Start_the_Fire,"February 28, 2019",6.99[331]
Season 15,333,16.0,"""Blood and Water""",https://greysanatomy.fandom.com/wiki/Blood_and_Water,"March 7, 2019",6.55[332]
Season 15,334,17.0,"""And Dream of Sheep""",https://greysanatomy.fandom.com/wiki/And_Dream_of_Sheep,"March 14, 2019",6.57[333]
Season 15,335,18.0,"""Add It Up""",https://greysanatomy.fandom.com/wiki/Add_It_Up,"March 21, 2019",7.00[334]
,,,,,,
,,,,,,
,,,,,,
Season 15,339,22.0,"""Head Over High Heels""",https://greysanatomy.fandom.com/wiki/Head_Over_High_Heels,"April 18, 2019",6.24[338]
,,,,,,
Season 15,341,24.0,"""Drawn to the Blood""",https://greysanatomy.fandom.com/wiki/Drawn_to_the_Blood,"May 9, 2019",6.37[340]
,,,,,,
Season 16,343,1.0,"""Nothing Left to Cling To""",https://greysanatomy.fandom.com/wiki/Nothing_Left_to_Cling_To,"September 26, 2019",6.51[342]
Season 16,344,2.0,"""Back in the Saddle""",https://greysanatomy.fandom.com/wiki/Back_in_the_Saddle,"October 3, 2019",6.08[343]
Season 16,345,3.0,"""Reunited""",https://greysanatomy.fandom.com/wiki/Reunited,"October 10, 2019",6.09[344]
Season 16,346,4.0,"""It's Raining Men""",https://greysanatomy.fandom.com/wiki/It%27s_Raining_Men,"October 17, 2019",5.75[345]
,,,,,,
Season 16,348,6.0,"""Whistlin' Past the Graveyard""",https://greysanatomy.fandom.com/wiki/Whistlin%27_Past_the_Graveyard,"October 31, 2019",5.66[347]
Season 16,349,7.0,"""Papa Don't Preach""",https://greysanatomy.fandom.com/wiki/Papa_Don%27t_Preach,"November 7, 2019",6.16[348]
,,,,,,
,,,,,,
Season 16,352,10.0,"""Help Me Through the Night""",https://greysanatomy.fandom.com/wiki/Help_Me_Through_the_Night,"January 23, 2020",6.66[351]
Season 16,353,11.0,"""A Hard Pill to Swallow""",https://greysanatomy.fandom.com/wiki/A_Hard_Pill_to_Swallow,"January 30, 2020",5.55[352]
Season 16,354,12.0,"""The Last Supper""",https://greysanatomy.fandom.com/wiki/The_Last_Supper,"February 6, 2020",5.48[353]
,,,,,,
,,,,,,
Season 16,357,15.0,"""Snowblind""",https://greysanatomy.fandom.com/wiki/Snowblind,"February 27, 2020",6.00[356]
Season 16,358,16.0,"""Leave a Light On""",https://greysanatomy.fandom.com/wiki/Leave_a_Light_On,"March 5, 2020",6.30[357]
,,,,,,
Season 16,360,18.0,"""Give a Little Bit""",https://greysanatomy.fandom.com/wiki/Give_a_Little_Bit,"March 19, 2020",7.04[359]
Season 16,361,19.0,"""Love of My Life""",https://greysanatomy.fandom.com/wiki/Love_of_My_Life,"March 26, 2020",6.52[360]
Season 16,362,20.0,"""Sing It Again""",https://greysanatomy.fandom.com/wiki/Sing_It_Again,"April 2, 2020",7.18[361]
Season 16,363,21.0,"""Put on a Happy Face""",https://greysanatomy.fandom.com/wiki/Put_on_a_Happy_Face,"April 9, 2020",7.33[362]
Season 17,364,1.0,"""All Tomorrow's Parties""",https://greysanatomy.fandom.com/wiki/All_Tomorrow%27s_Parties,"November 12, 2020",5.93[363]
Season 17,365,2.0,"""The Center Won't Hold""",https://greysanatomy.fandom.com/wiki/The_Center_Won%27t_Hold,"November 12, 2020",5.93[364]
Season 17,366,3.0,"""My Happy Ending""",https://greysanatomy.fandom.com/wiki/My_Happy_Ending,"November 19, 2020",5.99[365]
Season 17,367,4.0,"""You'll Never Walk Alone""",https://greysanatomy.fandom.com/wiki/You%27ll_Never_Walk_Alone,"December 3, 2020",5.84[366]
Season 17,368,5.0,"""Fight the Power""",https://greysanatomy.fandom.com/wiki/Fight_the_Power,"December 10, 2020",5.69[367]
Season 17,369,6.0,"""No Time for Despair""",https://greysanatomy.fandom.com/wiki/No_Time_for_Despair,"December 17, 2020",5.66[368]
Season 17,370,7.0,"""Helplessly Hoping""",https://greysanatomy.fandom.com/wiki/Helplessly_Hoping,"March 11, 2021",5.11[369]
Season 17,371,8.0,"""It's All Too Much""",https://greysanatomy.fandom.com/wiki/It%27s_All_Too_Much,"March 18, 2021",4.97[370]
Season 17,372,9.0,"""In My Life""",https://greysanatomy.fandom.com/wiki/In_My_Life,"March 25, 2021",4.99[371]
Season 17,373,10.0,"""Breathe""",https://greysanatomy.fandom.com/wiki/Breathe,"April 1, 2021",4.55[372]
,,,,,,
,,,,,,
Season 17,376,13.0,"""Good as Hell""",https://greysanatomy.fandom.com/wiki/Good_as_Hell,"April 22, 2021",4.81[375]
Season 17,377,14.0,"""Look Up Child""",https://greysanatomy.fandom.com/wiki/Look_Up_Child,"May 6, 2021",4.93[376]
Season 17,378,15.0,"""Tradition""",https://greysanatomy.fandom.com/wiki/Tradition,"May 20, 2021",4.58[377]
,,,,,,
,,,,,,
,,,,,,
Season 18,382,2.0,"""Some Kind of Tomorrow""",https://greysanatomy.fandom.com/wiki/Some_Kind_of_Tomorrow,"October 7, 2021",4.04[381]
Season 18,383,3.0,"""Hotter Than Hell""",https://greysanatomy.fandom.com/wiki/Hotter_Than_Hell,"October 14, 2021",4.05[382]
Season 18,384,4.0,"""With a Little Help From My Friends""",https://greysanatomy.fandom.com/wiki/With_a_Little_Help_From_My_Friends,"October 21, 2021",3.91[383]
Season 18,385,5.0,"""Bottle Up and Explode!""",https://greysanatomy.fandom.com/wiki/Bottle_Up_and_Explode!,"November 11, 2021",4.75[384]
Season 18,386,6.0,"""Everyday Is a Holiday (With You)""",https://greysanatomy.fandom.com/wiki/Everyday_Is_a_Holiday_(With_You),"November 18, 2021",4.12[385]
,,,,,,
Season 18,388,8.0,"""It Came Upon a Midnight Clear""",https://greysanatomy.fandom.com/wiki/It_Came_Upon_a_Midnight_Clear,"December 16, 2021",4.20[387]
,,,,,,
,,,,,,
Season 18,391,11.0,"""Legacy""",https://greysanatomy.fandom.com/wiki/Legacy,"March 10, 2022",3.87[390]
Season 18,392,12.0,"""The Makings of You""",https://greysanatomy.fandom.com/wiki/The_Makings_of_You,"March 17, 2022",3.60[391]
,,,,,,
Season 18,394,14.0,"""Road Trippin'""",https://greysanatomy.fandom.com/wiki/Road_Trippin%27,"March 31, 2022",3.93[393]
Season 18,395,15.0,"""Put It to the Test""",https://greysanatomy.fandom.com/wiki/Put_It_to_the_Test,"April 7, 2022",4.21[394]
Season 18,396,16.0,"""Should I Stay or Should I Go""",https://greysanatomy.fandom.com/wiki/Should_I_Stay_or_Should_I_Go,"May 5, 2022",3.90[395]
Season 18,397,17.0,"""I'll Cover You""",https://greysanatomy.fandom.com/wiki/I%27ll_Cover_You,"May 12, 2022",3.60[396]
Season 18,398,18.0,"""Stronger Than Hate""",https://greysanatomy.fandom.com/wiki/Stronger_Than_Hate,"May 19, 2022",3.80[397]
,,,,,,
Season 18,400,20.0,"""You Are the Blood""",https://greysanatomy.fandom.com/wiki/You_Are_the_Blood,"May 26, 2022",4.19[399]
,,,,,,
Season 19,402,2.0,"""Wasn't Expecting That""",https://greysanatomy.fandom.com/wiki/Wasn%27t_Expecting_That,"October 13, 2022",3.32[401]
,,,,,,
,,,,,,
,,,,,,
Season 19,406,6.0,"""Thunderstruck""",https://greysanatomy.fandom.com/wiki/Thunderstruck,"November 10, 2022",3.72[405]
Season 19,407,7.0,"""I'll Follow the Sun""",https://greysanatomy.fandom.com/wiki/I%27ll_Follow_the_Sun,"February 23, 2023",3.60[406]
Season 19,408,8.0,"""All Star""",https://greysanatomy.fandom.com/wiki/All_Star,"March 2, 2023",3.08[407]
,,,,,,
Season 19,410,10.0,"""Sisters Are Doin' It for Themselves""",https://greysanatomy.fandom.com/wiki/Sisters_Are_Doin%27_It_for_Themselves,"March 16, 2023",3.46[409]
Season 19,411,11.0,"""Training Day""",https://greysanatomy.fandom.com/wiki/Training_Day,"March 23, 2023",3.36[410]
Season 19,412,12.0,"""Pick Yourself Up""",https://greysanatomy.fandom.com/wiki/Pick_Yourself_Up,"March 30, 2023",3.70[411]
Season 19,413,13.0,"""Cowgirls Don't Cry""",https://greysanatomy.fandom.com/wiki/Cowgirls_Don%27t_Cry,"April 6, 2023",3.30[412]
,,,,,,
Season 19,415,15.0,"""Mama Who Bore Me""",https://greysanatomy.fandom.com/wiki/Mama_Who_Bore_Me,"April 13, 2023",3.15[414]
Season 19,416,16.0,"""Gunpowder and Lead""",https://greysanatomy.fandom.com/wiki/Gunpowder_and_Lead,"April 20, 2023",3.35[415]
Season 19,417,17.0,"""Come Fly With Me""",https://greysanatomy.fandom.com/wiki/Come_Fly_With_Me,"May 4, 2023",3.10[416]
Season 19,418,18.0,"""Ready to Run""",https://greysanatomy.fandom.com/wiki/Ready_to_Run,"May 11, 2023",2.99[417]
Season 19,419,19.0,"""Wedding Bell Blues""",https://greysanatomy.fandom.com/wiki/Wedding_Bell_Blues,"May 18, 2023",3.02[418]
Season 19,420,20.0,"""Happily Ever After?""",https://greysanatomy.fandom.com/wiki/Happily_Ever_After%3F,"May 18, 2023",3.02[419]
